no,id,title,original_title,genres,companies,countries,languages,year,overview,tagline,vote_average,poster_path
1,1236153,노 머시: 90분,Mercy,"SF, 액션, 스릴러","Atlas Entertainment, Amazon MGM Studios, Bazelevs",US,"English, Hindi",2026,모든 진실을 데이터로만 판단하는 냉혹한 AI 재판 시스템 ‘MERCY’에 맞서 사형을 피하기 위해 90분 안에 자신의 무죄를 증명해야 하는 형사(크리스 프랫)의 숨 막히는 반격을 그린 타임리미트 스릴러,"사형까지 단 90분, 무죄를 증명하고 판결을 뒤집어라",7.093,/fQ8Q3VAybCt6fHFJQD0kwd5azNL.jpg
2,1290821,쉘터,Shelter,"액션, 범죄, 스릴러","Black Bear Pictures, Punch Palace Productions, CineMachine, Stampede Ventures","GB, US",English,2026,"과거를 등진 채 침묵의 섬에 숨어든 남자, 아이를 구한 순간 잠들었던 본능이 깨어난다.  스코틀랜드의 외딴 섬 lighthouse에서 개 한 마리와 함께 은둔하며 살아가는 전직 특수 요원 메이슨. 그는 술과 체스, 그리고 그림으로 과거의 잔혹한 기억을 지우며 스스로를 고립시킨다. 유일한 바깥세상과의 연결고리는 정기적으로 보급품을 나르는 어린 소녀 제시뿐이다. 어느 날, 거센 폭풍우 속에서 목숨을 잃을 위기에 처한 제시를 구하기 위해 그는 평생 지켜온 금기를 깨고 세상 밖으로 모습을 드러낸다. 단 한 번의 자비로운 선택은 도미노처럼 거대한 위협을 불러오고, 메이슨은 자신을 뒤쫓는 과거의 그림자로부터 아이를 지키기 위해 런던의 어두운 지하 세계로 뛰어든다. 가장 소중한 것을 지키기 위해 가장 잔인해져야만 하는 남자의 처절한 생존 여정이 시작된다.",,7.101,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg
3,1272837,28년 후: 뼈의 사원,28 Years Later: The Bone Temple,"공포, 스릴러, SF","Columbia Pictures, TSG Entertainment, DNA Films",GB,English,2026,"분노 바이러스로부터 격리된 섬 홀리아일랜드로 돌아가지 않고 본토에 남기로 한 스파이크, 감염자와 공존하며 살아가는 켈슨 박사, 정체불명 인간 집단의 리더 지미가 얽히고 설키며 벌어지는 이야기",공포를 숭배하라,7.184,/ubgOSHAEhv1ds8BNHodhCcI13oH.jpg
4,1088434,Hellfire,Hellfire,"액션, 스릴러","Price Productions II, Skipstone Pictures, Millman Productions, Ron Lee Productions, Saban Films, Umbrelic Entertainment, Edge Code Films, Focus-Fox Studio, Satyricon Pictures, Vibrant Pictures",US,English,2026,,,7.0,/tQti9QTf13MfzNpXguijgNh7ojE.jpg
5,1523145,Твое сердце будет разбито,Твое сердце будет разбито,"로맨스, 드라마","All Media A Start Company, START Studio, Sverdlovsk Film Studio",RU,Russian,2026,,,0.0,/iGpMm603GUKH2SiXB2S5m4sZ17t.jpg
6,840464,그린랜드 2,Greenland 2: Migration,"모험, 스릴러, SF","Lionsgate, STXfilms, Anton, Thunder Road, G-BASE, CineMachine",US,"English, French",2026,생존한 개리티 가족은 안전한 그린란드 벙커를 떠나 폐허가 된 얼어붙은 유럽의 황무지를 가로질러 새로운 보금자리를 찾기 위한 위험한 여정을 시작한다.,,6.51,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg
7,1168190,더 레킹 크루,The Wrecking Crew,"액션, 코미디, 범죄, 미스터리","Amazon MGM Studios, On the Roam, Dogbone Entertainment, Henness Ridge Entertainment, 6th & Idaho Motion Picture Company, Reunion Pacific Entertainment",US,"Mandarin, English, French, Japanese, Portuguese, Spanish",2026,"'더 레킹 크루'는 사이가 멀어진 이복형제의 이야기를 다룬다. 조니와 제임스는 아버지의 의문스러운 죽음 이후 다시 뭉치게 된다. 진실을 쫓는 과정에서 묻혀 있던 비밀들이 밝혀지고, 가족을 갈라놓을 수 있는 거대한 음모가 드러난다.",,6.927,/bG8BPNRoOvTC9wIos7DIH1YWOqN.jpg
8,1316092,“폭풍의 언덕”,"""Wuthering Heights""","로맨스, 드라마","MRC, LuckyChap Entertainment, Lie Still, Warner Bros. Pictures, Domain Entertainment","GB, US",English,2026,"자유를 꿈꾸는 캐서린과 상처 입은 영혼 히스클리프, 서로에게 완전히 빠져든 두 사람의 치명적인 사랑을 담은 이야기",완전하게 빠져든다,6.544,/oDXVQRHTomnm9N569Pu2d38IubP.jpg
9,1242937,더 드레드풀,The Dreadful,공포,"Black Magic, Redwire Pictures, StoryBoard Media",US,English,2026,"중세 영국에서 앤과 그녀의 권위적인 시어머니 모웬은 사회 변두리에서 힘겹게 살아남는다. 그러던 중 앤의 과거와 관련된 한 남자가 전쟁에서 돌아오고, 신비로운 기사를 통해 저주가 서서히 드러나며 그들 모두를 파멸로 이끌기 시작한다.",,6.513,/hGH8Ji7pG2ytHxo7ABqHM3TpzFA.jpg
10,1428862,파이어브레이크,Cortafuego,"스릴러, 드라마",Espotlight,ES,Spanish,2026,"가족이 이사 준비를 하던 중, 어린 소녀 리데가 숲속에서 흔적도 없이 사라진다. 바로 그때 숲에서 번지기 시작한 불길. 엄마는 화염이 덮치기 전에 딸을 찾기 위해 시간과의 사투를 벌인다.",,6.25,/ritfUhDs0L5t9tt1raLsPB3OYiI.jpg
